0,1,2,3,4,5,6
1,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
2,50,0.27450980392156854,Biased against sex=Female,0.0,Not Biased against Black,true
3,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
5,50,0.27450980392156854,Biased against sex=Female,0.0,Not Biased against Black,true
6,50,0.5490196078431373,Biased against sex=Female,0.0,Not Biased against Black,true
8,50,0.27450980392156854,Not Biased against Male,0.0,Not Biased against Black,true
10,50,0.03921568627450989,Not Biased against Female,0.0,Not Biased against Black,true
11,50,0.23529411764705888,Biased against sex=Female,0.0,Not Biased against Black,true
12,50,0.0,Not Biased against Female,0.0,Not Biased against Black,true
13,50,0.5490196078431373,Biased against sex=Female,0.0,Not Biased against Black,true
14,50,0.0,Not Biased against Female,0.0,Not Biased against Black,true
16,50,0.196078431372549,Not Biased against Male,0.0,Not Biased against Black,true
18,50,0.6666666666666667,Biased against sex=Female,0.0,Not Biased against Black,true
19,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
22,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
24,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
26,50,0.23529411764705888,Not Biased against Female,0.0,Not Biased against Black,true
28,50,0.27450980392156854,Not Biased against Male,0.0,Not Biased against Black,true
29,50,0.3529411764705883,Biased against sex=Female,0.0,Not Biased against Black,true
34,50,0.15686274509803932,Biased against sex=Female,0.0,Not Biased against Black,true
38,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
39,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
42,50,0.196078431372549,Biased against sex=Female,0.0,Not Biased against Black,true
43,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
44,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
45,50,0.6274509803921569,Biased against sex=Female,0.0,Not Biased against Black,true
46,50,0.196078431372549,Biased against sex=Female,0.0,Not Biased against Black,true
47,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
48,50,0.15686274509803932,Biased against sex=Female,0.0,Not Biased against Black,true
50,50,0.196078431372549,Not Biased against Male,0.0,Not Biased against Black,true
51,50,0.588235294117647,Biased against sex=Female,0.0,Not Biased against Black,true
54,50,0.7058823529411764,Biased against sex=Female,0.0,Not Biased against Black,true
55,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
56,50,0.5490196078431373,Not Biased against Male,0.0,Not Biased against Black,true
57,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
61,50,0.11764705882352944,Not Biased against Female,0.0,Not Biased against Black,true
62,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
63,50,0.23529411764705888,Biased against sex=Female,0.0,Not Biased against Black,true
64,50,0.392156862745098,Not Biased against Female,0.0,Not Biased against Black,true
65,50,0.07843137254901955,Not Biased against Male,0.0,Not Biased against Black,true
66,50,0.47058823529411775,Biased against sex=Female,0.0,Not Biased against Black,true
67,50,0.7058823529411764,Biased against sex=Female,0.0,Not Biased against Black,true
68,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
71,50,0.196078431372549,Not Biased against Male,0.0,Not Biased against Black,true
72,50,0.43137254901960786,Not Biased against Male,0.0,Not Biased against Black,true
73,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
74,50,0.07843137254901955,Not Biased against Male,0.0,Not Biased against Black,true
75,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
77,50,0.27450980392156854,Biased against sex=Female,0.0,Not Biased against Black,true
78,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
79,50,0.3529411764705883,Biased against sex=Female,0.0,Not Biased against Black,true
82,50,0.23529411764705888,Not Biased against Male,0.0,Not Biased against Black,true
83,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
84,50,0.15686274509803932,Biased against sex=Female,0.0,Not Biased against Black,true
87,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
88,50,0.23529411764705888,Not Biased against Female,0.0,Not Biased against Black,true
89,50,0.196078431372549,Biased against sex=Female,0.0,Not Biased against Black,true
90,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
91,50,0.3137254901960784,Not Biased against Male,0.0,Not Biased against Black,true
93,50,0.15686274509803932,Biased against sex=Female,0.0,Not Biased against Black,true
95,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
97,50,0.23529411764705888,Biased against sex=Female,0.0,Not Biased against Black,true
98,50,0.03921568627450989,Not Biased against Female,0.0,Not Biased against Black,true
100,50,0.03921568627450989,Not Biased against Male,0.0,Not Biased against Black,true
101,50,0.43137254901960786,Biased against sex=Female,0.0,Not Biased against Black,true
105,50,0.03921568627450989,Biased against sex=Female,0.0,Not Biased against Black,true
106,50,0.3529411764705883,Biased against sex=Female,0.0,Not Biased against Black,true
107,50,0.27450980392156854,Biased against sex=Female,0.0,Not Biased against Black,true
108,50,0.3529411764705883,Not Biased against Female,0.0,Not Biased against Black,true
110,50,0.11764705882352944,Not Biased against Male,0.0,Not Biased against Black,true
111,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
112,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
114,50,0.23529411764705888,Biased against sex=Female,0.0,Not Biased against Black,true
117,50,0.23529411764705888,Biased against sex=Female,0.0,Not Biased against Black,true
119,50,0.27450980392156854,Biased against sex=Female,0.0,Not Biased against Black,true
120,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
122,50,0.5490196078431373,Not Biased against Male,0.0,Not Biased against Black,true
124,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
125,50,0.27450980392156854,Not Biased against Female,0.0,Not Biased against Black,true
126,50,0.3137254901960784,Biased against sex=Female,0.0,Not Biased against Black,true
128,50,0.47058823529411775,Biased against sex=Female,0.0,Not Biased against Black,true
130,50,0.23529411764705888,Biased against sex=Female,0.0,Not Biased against Black,true
131,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
132,50,0.0,Not Biased against Female,0.0,Not Biased against Black,true
133,50,0.23529411764705888,Biased against sex=Female,0.0,Not Biased against Black,true
135,50,0.11764705882352944,Biased against sex=Female,0.0,Not Biased against Black,true
136,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
137,50,0.5098039215686274,Biased against sex=Female,0.0,Not Biased against Black,true
139,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
140,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
141,50,0.3137254901960784,Not Biased against Female,0.0,Not Biased against Black,true
142,50,0.27450980392156854,Biased against sex=Female,0.0,Not Biased against Black,true
143,50,0.7058823529411764,Biased against sex=Female,0.0,Not Biased against Black,true
144,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
145,50,0.0,Not Biased against Male,0.0,Not Biased against Black,true
146,50,0.6666666666666667,Not Biased against Male,0.0,Not Biased against Black,true
147,50,0.15686274509803932,Biased against sex=Female,0.0,Not Biased against Black,true
149,50,0.3137254901960784,Not Biased against Male,0.0,Not Biased against Black,true
